File Creation Time UTC,2024-08-16 03:00:27
SW Name,iID®DataCaptureSoftware
SW Version,v01.09
SW BuildDate,2020-04-07
SW StartTime,2024-08-14 14:04:18
Lib Version,v1.6.3
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,MPC
,,DataGetDelay_Seconds,15

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB30FA6
,0x14,200558,D0.21,98.26.06,2
,0x15,200566,D0.21,98.26.06,2


Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2
2024-08-16 05:36:15.271,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:36:00.100,2024-08-16 05:36:00.100,2,Unknown,,x
2024-08-16 05:36:30.365,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:36:15.200,2024-08-16 05:36:15.200,108,Arriving,x,x
2024-08-16 05:36:45.459,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:36:30.300,2024-08-16 05:36:30.300,304,Arriving,x,x
2024-08-16 05:37:00.552,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:36:45.400,2024-08-16 05:36:45.400,335,Arriving,x,x
2024-08-16 05:37:15.630,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:37:00.500,2024-08-16 05:37:00.500,335,Departing,x,x
2024-08-16 05:37:30.709,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:37:15.600,2024-08-16 05:37:15.600,339,Arriving,x,x
2024-08-16 05:37:45.787,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:37:30.700,2024-08-16 05:37:30.700,343,Arriving,x,x
2024-08-16 05:38:00.880,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:37:45.700,2024-08-16 05:37:45.700,334,Departing,x,x
2024-08-16 05:38:15.974,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:38:00.800,2024-08-16 05:38:00.800,313,Departing,x,x
2024-08-16 05:38:31.052,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:38:15.900,2024-08-16 05:38:15.900,304,Unknown,x,
2024-08-16 05:38:46.130,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:38:31.000,2024-08-16 05:38:31.000,318,Unknown,x,
2024-08-16 05:39:01.209,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:38:46.100,2024-08-16 05:38:46.100,330,Departing,x,x
2024-08-16 05:39:16.287,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:39:01.200,2024-08-16 05:39:01.200,200,Unknown,x,
2024-08-16 05:39:31.365,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:39:16.200,2024-08-16 05:39:16.200,21,Unknown,x,
2024-08-16 05:39:46.459,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:39:31.300,2024-08-16 05:39:31.300,39,Unknown,x,
2024-08-16 05:41:01.834,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:40:46.700,2024-08-16 05:40:46.700,1,Unknown,x,
2024-08-16 05:41:16.912,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:41:01.800,2024-08-16 05:41:01.800,7,Unknown,x,
2024-08-16 05:41:32.005,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:41:16.900,2024-08-16 05:41:16.900,215,Unknown,x,
2024-08-16 05:41:47.084,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:41:31.900,2024-08-16 05:41:31.900,62,Unknown,x,
2024-08-16 05:42:02.162,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:41:47.000,2024-08-16 05:41:47.000,91,Unknown,x,
2024-08-16 05:42:17.240,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:42:02.100,2024-08-16 05:42:02.100,211,Arriving,x,x
2024-08-16 05:42:32.318,14,200558,25SQCMICSBB9829012C16,,DPC,2024-08-16 05:42:17.200,2024-08-16 05:42:17.200,156,Arriving,x,x
2024-08-16 05:42:32.318,14,200558,25SQCMICSBB0407012C00,,DPC,2024-08-16 05:42:17.200,2024-08-16 05:42:17.200,13,Departing,x,x
2024-08-16 05:42:47.396,14,200558,25SQCMICSBB0407012C00,,DPC,2024-08-16 05:42:32.300,2024-08-16 05:42:32.300,64,Departing,x,x
